Period,Level,Region,ICB,Org Code,Org Name,Metric,Metric Type,Metric Group,Value
01/08/2026,National,[z],[z],ENG,ENGLAND (Type 1 Trusts),Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,21082.00
01/08/2026,Region,EAST OF ENGLAND,[z],Y61,EAST OF ENGLAND,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,1909.00
01/08/2026,Region,LONDON,[z],Y56,LONDON,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,2753.00
01/08/2026,Region,MIDLANDS,[z],Y60,MIDLANDS,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,3972.00
01/08/2026,Region,NORTH EAST AND YORKSHIRE,[z],Y63,NORTH EAST AND YORKSHIRE,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,3388.00
01/08/2026,Region,NORTH WEST,[z],Y62,NORTH WEST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,3156.00
01/08/2026,Region,SOUTH EAST,[z],Y59,SOUTH EAST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,3262.00
01/08/2026,Region,SOUTH WEST,[z],Y58,SOUTH WEST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,2642.00
01/08/2026,ICB,EAST OF ENGLAND,NHS ESSEX INTEGRATED CARE BOARD,D7T5G,NHS ESSEX INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,380.00
01/08/2026,ICB,EAST OF ENGLAND,NHS CENTRAL EAST INTEGRATED CARE BOARD,S1Y5D,NHS CENTRAL EAST INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,900.00
01/08/2026,ICB,EAST OF ENGLAND,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,T6Y0W,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,629.00
01/08/2026,ICB,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,589.00
01/08/2026,ICB,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,519.00
01/08/2026,ICB,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,373.00
01/08/2026,ICB,LONDON,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,Z9B2Z,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,1272.00
01/08/2026,ICB,MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,285.00
01/08/2026,ICB,MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,387.00
01/08/2026,ICB,MIDLANDS,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,458.00
01/08/2026,ICB,MIDLANDS,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,217.00
01/08/2026,ICB,MIDLANDS,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,421.00
01/08/2026,ICB,MIDLANDS,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,254.00
01/08/2026,ICB,MIDLANDS,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,220.00
01/08/2026,ICB,MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,327.00
01/08/2026,ICB,MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,592.00
01/08/2026,ICB,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,417.00
01/08/2026,ICB,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,394.00
01/08/2026,ICB,NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,535.00
01/08/2026,ICB,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,1106.00
01/08/2026,ICB,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,551.00
01/08/2026,ICB,NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,1196.00
01/08/2026,ICB,NORTH WEST,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,693.00
01/08/2026,ICB,NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,1082.00
01/08/2026,ICB,NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,1381.00
01/08/2026,ICB,SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,532.00
01/08/2026,ICB,SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,1106.00
01/08/2026,ICB,SOUTH EAST,NHS THAMES VALLEY INTEGRATED CARE BOARD,S0E4D,NHS THAMES VALLEY INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,589.00
01/08/2026,ICB,SOUTH EAST,NHS SURREY AND SUSSEX INTEGRATED CARE BOARD,S9B9J,NHS SURREY AND SUSSEX INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,1035.00
01/08/2026,ICB,SOUTH WEST,NHS DEVON INTEGRATED CARE BOARD,QJK,NHS DEVON INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,583.00
01/08/2026,ICB,SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,418.00
01/08/2026,ICB,SOUTH WEST,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,209.00
01/08/2026,ICB,SOUTH WEST,NHS SOMERSET INTEGRATED CARE BOARD,QSL,NHS SOMERSET INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,274.00
01/08/2026,ICB,SOUTH WEST,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,173.00
01/08/2026,ICB,SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,584.00
01/08/2026,ICB,SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,QVV,NHS DORSET INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,401.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS ESSEX INTEGRATED CARE BOARD,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,277.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS CENTRAL EAST INTEGRATED CARE BOARD,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,156.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,85.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS CENTRAL EAST INTEGRATED CARE BOARD,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,130.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,134.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS CENTRAL EAST INTEGRATED CARE BOARD,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,175.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,118.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,98.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS CENTRAL EAST INTEGRATED CARE BOARD,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,206.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,194.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS ESSEX INTEGRATED CARE BOARD,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,103.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS CENTRAL EAST INTEGRATED CARE BOARD,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,130.00
01/08/2026,PROVIDER,EAST OF ENGLAND,NHS CENTRAL EAST INTEGRATED CARE BOARD,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,103.00
01/08/2026,PROVIDER,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,R1H,BARTS HEALTH NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,268.00
01/08/2026,PROVIDER,LONDON,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,329.00
01/08/2026,PROVIDER,LONDON,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,316.00
01/08/2026,PROVIDER,LONDON,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,58.00
01/08/2026,PROVIDER,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,87.00
01/08/2026,PROVIDER,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,199.00
01/08/2026,PROVIDER,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,203.00
01/08/2026,PROVIDER,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJ2,LEWISHAM AND GREENWICH NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,195.00
01/08/2026,PROVIDER,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RJ6,CROYDON HEALTH SERVICES NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,26.00
01/08/2026,PROVIDER,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,90.00
01/08/2026,PROVIDER,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,191.00
01/08/2026,PROVIDER,LONDON,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,RKE,WHITTINGTON HEALTH NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,43.00
01/08/2026,PROVIDER,LONDON,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,177.00
01/08/2026,PROVIDER,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,52.00
01/08/2026,PROVIDER,LONDON,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,137.00
01/08/2026,PROVIDER,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,170.00
01/08/2026,PROVIDER,LONDON,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,212.00
01/08/2026,PROVIDER,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RBK,WALSALL HEALTHCARE NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,59.00
01/08/2026,PROVIDER,MIDLANDS,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,112.00
01/08/2026,PROVIDER,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,43.00
01/08/2026,PROVIDER,MIDLANDS,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,254.00
01/08/2026,PROVIDER,MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,190.00
01/08/2026,PROVIDER,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,239.00
01/08/2026,PROVIDER,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,106.00
01/08/2026,PROVIDER,MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RLQ,WYE VALLEY NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,60.00
01/08/2026,PROVIDER,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,112.00
01/08/2026,PROVIDER,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,122.00
01/08/2026,PROVIDER,MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,127.00
01/08/2026,PROVIDER,MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,200.00
01/08/2026,PROVIDER,MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,387.00
01/08/2026,PROVIDER,MIDLANDS,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,346.00
01/08/2026,PROVIDER,MIDLANDS,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,217.00
01/08/2026,PROVIDER,MIDLANDS,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,421.00
01/08/2026,PROVIDER,MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,225.00
01/08/2026,PROVIDER,MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,402.00
01/08/2026,PROVIDER,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,130.00
01/08/2026,PROVIDER,MIDLANDS,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,220.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,285.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,138.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,171.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,21.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RCF,AIREDALE NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,130.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,89.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,127.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,195.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,93.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,164.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,124.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,71.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,401.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,109.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,143.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,218.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,66.00
01/08/2026,PROVIDER,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,266.00
